epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,3737.16,0.78068,0.72771,0.01083,0.89655,0.85106,0.88476,0.69659,0.86505,0.61258,0.01537,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,3879.83,0.68891,0.39183,0.01208,0.89351,0.85284,0.88132,0.69439,0.86796,0.59409,0.01547,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,3986.96,0.65192,0.37143,0.01123,0.90213,0.85106,0.88202,0.69305,0.86004,0.59508,0.01529,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4097.4,0.63773,0.36023,0.0108,0.88438,0.8617,0.88454,0.69534,0.85382,0.59069,0.01519,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4223.83,0.62882,0.35561,0.01069,0.90309,0.85919,0.88458,0.69239,0.85206,0.58213,0.01506,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4362.4,0.62029,0.35195,0.01056,0.89997,0.85461,0.88227,0.69137,0.84684,0.58482,0.01499,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4501.05,0.6201,0.3436,0.01055,0.89824,0.86083,0.88329,0.69204,0.84939,0.57391,0.01505,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4639.56,0.60486,0.33871,0.01011,0.90877,0.85816,0.88386,0.69037,0.85716,0.56023,0.01519,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4776.81,0.60427,0.33525,0.01023,0.91157,0.85901,0.88466,0.69044,0.85614,0.56316,0.0152,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4914.8,0.59353,0.32982,0.01,0.9099,0.85947,0.88507,0.69305,0.85671,0.56579,0.01512,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,5053.65,0.59027,0.32902,0.00989,0.90414,0.85993,0.88497,0.69208,0.8569,0.56356,0.0151,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
